Country/Region,Confirmed,Deaths,Recovered,Active,New Confirmed,New Recovered,New Deaths,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed today,Confirmed last week,1 week change,1 week % increase
Afghanistan,1351,43,188,1120,72,9,1,3.18,13.92,22.87,38742911.0,35.0,1351,906,445,49.12
Albania,678,27,394,257,15,9,0,3.98,58.11,6.85,2878420.0,236.0,678,539,139,25.79
Algeria,3127,415,1408,1304,120,53,8,13.27,45.03,29.47,43685618.0,72.0,3127,2418,709,29.32
Andorra,731,40,344,347,8,11,3,5.47,47.06,11.63,77240.0,9464.0,731,696,35,5.03
Angola,25,2,6,17,0,0,0,8.0,24.0,33.33,32644783.0,1.0,25,19,6,31.58
Antigua and Barbuda,24,3,11,10,0,1,0,12.5,45.83,27.27,97764.0,245.0,24,23,1,4.35
Argentina,3607,176,976,2455,172,57,11,4.88,27.06,18.03,45111229.0,80.0,3607,2669,938,35.14
Armenia,1596,27,728,841,73,69,3,1.69,45.61,3.71,2962137.0,539.0,1596,1201,395,32.89
Australia,6677,79,4124,2474,15,0,4,1.18,61.76,1.92,25439164.0,262.0,6677,6522,155,2.38
Austria,15071,530,11872,2669,69,178,8,3.52,78.77,4.46,8996022.0,1675.0,15071,14595,476,3.26
Azerbaijan,1592,21,1013,558,44,65,1,1.32,63.63,2.07,10120555.0,157.0,1592,1340,252,18.81
Bahamas,73,11,15,47,1,1,0,15.07,20.55,73.33,392477.0,186.0,73,54,19,35.19
Bahrain,2518,8,1113,1397,301,31,0,0.32,44.2,0.72,1688629.0,1491.0,2518,1740,778,44.71
Bangladesh,4689,131,112,4446,503,4,4,2.79,2.39,116.96,164354176.0,29.0,4689,1838,2851,155.11
Barbados,77,6,31,40,1,1,0,7.79,40.26,19.35,287305.0,268.0,77,75,2,2.67
Belarus,8773,63,1120,7590,751,182,3,0.72,12.77,5.62,9449940.0,928.0,8773,4779,3994,83.57
Belgium,44293,6679,10122,27492,1496,322,189,15.08,22.85,65.98,11579477.0,3825.0,44293,36138,8155,22.57
Belize,18,2,5,11,0,0,0,11.11,27.78,40.0,396120.0,45.0,18,18,0,0.0
Benin,54,1,27,26,0,0,0,1.85,50.0,3.7,12055347.0,4.0,54,35,19,54.29
Bhutan,7,0,3,4,0,0,0,0.0,42.86,0.0,769867.0,9.0,7,5,2,40.0
Bolivia,807,44,54,709,104,10,1,5.45,6.69,81.48,11640159.0,69.0,807,465,342,73.55
Bosnia and Herzegovina,1421,55,538,828,8,53,1,3.87,37.86,10.22,3284806.0,433.0,1421,1214,207,17.05
Botswana,22,1,0,21,0,0,0,4.55,0.0,inf,2341649.0,9.0,22,15,7,46.67
Brazil,54043,3704,27655,22684,4007,1082,373,6.85,51.17,13.39,212253150.0,255.0,54043,33682,20361,60.45
Brunei,138,1,120,17,0,1,0,0.72,86.96,0.83,436624.0,316.0,138,136,2,1.47
Bulgaria,1234,54,197,983,137,7,2,4.38,15.96,27.41,6958627.0,177.0,1234,846,388,45.86
Burkina Faso,629,41,425,163,13,15,0,6.52,67.57,9.65,20780371.0,30.0,629,557,72,12.93
Burma,144,5,9,130,5,0,0,3.47,6.25,55.56,54409800.0,3.0,144,88,56,63.64
Burundi,11,1,4,6,0,0,0,9.09,36.36,25.0,11814346.0,1.0,11,5,6,120.0
Cabo Verde,88,1,1,86,6,0,0,1.14,1.14,100.0,554750.0,159.0,88,56,32,57.14
Cambodia,122,0,117,5,0,7,0,0.0,95.9,0.0,16671185.0,7.0,122,122,0,0.0
Cameroon,1430,43,0,1387,96,0,0,3.01,0.0,inf,26405174.0,54.0,1430,996,434,43.57
