Date,Confirmed,Deaths,Recovered,New Confirmed,New Deaths,New Recovered,No. of countries,Deaths / 100 Cases,Deaths / 100 Recovered
2020-01-22,555,17,28,0,0,0,6,5.05,60.71
2020-01-23,654,18,30,99,1,2,8,4.59,60.0
2020-01-24,941,26,35,287,8,5,9,3.72,74.29
2020-01-25,1434,42,38,493,16,3,11,2.65,110.53
2020-01-26,2118,56,51,684,14,13,13,2.41,109.8
2020-01-27,2927,82,58,809,26,7,16,1.98,141.38
2020-01-28,5578,131,103,2651,49,45,16,1.85,127.18
2020-01-29,6166,133,120,588,2,17,18,1.95,110.83
2020-01-30,8234,171,136,2068,38,16,20,1.65,125.74
2020-01-31,9927,213,209,1693,42,73,24,2.11,101.91
2020-02-01,12038,259,267,2111,46,58,25,2.22,97.0
2020-02-02,16787,362,447,4749,103,180,25,2.66,80.98
2020-02-03,19881,426,590,3094,64,143,25,2.97,72.2
2020-02-04,23892,492,804,4011,66,214,26,3.37,61.19
2020-02-05,27635,564,1050,3743,72,246,26,3.8,53.71
2020-02-06,30794,634,1391,3159,70,341,26,4.52,45.58
2020-02-07,34391,719,1871,3597,85,480,27,5.44,38.43
2020-02-08,37120,806,2429,2729,87,558,27,6.54,33.18
2020-02-09,40150,906,3015,3030,100,586,27,7.51,30.05
2020-02-10,42762,1013,3658,2612,107,643,27,8.55,27.69
2020-02-11,44802,1113,4365,2040,100,707,27,9.74,25.5
2020-02-12,45221,1118,4789,419,5,424,27,10.59,23.35
2020-02-13,60368,1371,5876,15147,253,1087,27,9.73,23.33
2020-02-14,66885,1523,7527,6517,152,1651,28,11.25,20.23
2020-02-15,69030,1666,8769,2145,143,1242,28,12.7,19.0
2020-02-16,71224,1770,10163,2194,104,1394,28,14.27,17.42
2020-02-17,73258,1868,11780,2034,98,1617,28,16.08,15.86
2020-02-18,75136,2007,13484,1878,139,1704,28,17.95,14.88
2020-02-19,75639,2122,15181,503,115,1697,29,20.07,13.98
2020-02-20,76197,2247,17125,558,125,1944,29,22.47,13.12
2020-02-21,76819,2251,17669,622,4,544,31,23.0,12.74
2020-02-22,78572,2458,21515,1753,207,3846,31,27.38,11.42
2020-02-23,78958,2469,21937,386,11,422,31,27.78,11.25
2020-02-24,79561,2629,23669,603,160,1732,36,29.75,11.11
