Country/Region,Confirmed,Deaths,Recovered,Active,New Confirmed,New Recovered,New Deaths,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed today,Confirmed last week,1 week change,1 week % increase
Afghanistan,1279,42,179,1058,103,13,2,3.28,14.0,23.46,38742911.0,33.0,1279,840,439,52.26
Albania,663,27,385,251,29,29,0,4.07,58.07,7.01,2878420.0,230.0,663,518,145,27.99
Algeria,3007,407,1355,1245,97,151,5,13.54,45.06,30.04,43685618.0,69.0,3007,2268,739,32.58
Andorra,723,37,333,353,0,24,0,5.12,46.06,11.11,77240.0,9360.0,723,673,50,7.43
Angola,25,2,6,17,0,0,0,8.0,24.0,33.33,32644783.0,1.0,25,19,6,31.58
Antigua and Barbuda,24,3,10,11,0,0,0,12.5,41.67,30.0,97764.0,245.0,24,23,1,4.35
Argentina,3435,165,919,2351,291,47,13,4.8,26.75,17.95,45111229.0,76.0,3435,2571,864,33.61
Armenia,1523,24,659,840,50,26,0,1.58,43.27,3.64,2962137.0,514.0,1523,1159,364,31.41
Australia,6661,75,4124,2462,114,0,8,1.13,61.91,1.82,25439164.0,262.0,6661,6462,199,3.08
Austria,15002,522,11694,2786,77,366,12,3.48,77.95,4.46,8996022.0,1668.0,15002,14476,526,3.63
Azerbaijan,1548,20,948,580,30,41,0,1.29,61.24,2.11,10120555.0,153.0,1548,1283,265,20.65
Bahamas,72,11,14,47,7,2,2,15.28,19.44,78.57,392477.0,183.0,72,53,19,35.85
Bahrain,2217,8,1082,1127,190,56,1,0.36,48.8,0.74,1688629.0,1313.0,2217,1700,517,30.41
Bangladesh,4186,127,108,3951,414,16,7,3.03,2.58,117.59,164354176.0,25.0,4186,1572,2614,166.28
Barbados,76,6,30,40,1,5,1,7.89,39.47,20.0,287305.0,265.0,76,75,1,1.33
Belarus,8022,60,938,7024,741,169,2,0.75,11.69,6.4,9449940.0,849.0,8022,4204,3818,90.82
Belgium,42797,6490,9800,26507,908,367,228,15.16,22.9,66.22,11579477.0,3696.0,42797,34809,7988,22.95
Belize,18,2,5,11,0,3,0,11.11,27.78,40.0,396120.0,45.0,18,18,0,0.0
Benin,54,1,27,26,0,0,0,1.85,50.0,3.7,12055347.0,4.0,54,35,19,54.29
